player,club,cost,pos,sel%,form,pts
Faivre,Bournemouth,4.5,MID,0.20%,0,0
H.Traorè,Bournemouth,4.5,MID,0.30%,0,0
Sadi,Bournemouth,4.5,MID,0.10%,0,0
Adu-Adjei,Bournemouth,4.5,FWD,0.30%,0,0
Kroupi.Jr,Bournemouth,4.5,FWD,1.10%,0,0
Balcombe,Brentford,4,GKP,0.30%,0,0
Cox,Brentford,4,GKP,0.20%,0,0
Eyestone,Brentford,4,GKP,0.10%,0,0
Arthur,Brentford,4,DEF,0.30%,0,0
Fredrick,Brentford,4,DEF,0.20%,0,0
Hickey,Brentford,4,DEF,0.60%,0,0
Milambo,Brentford,5.5,MID,0.10%,0,0
Henderson,Brentford,5,MID,0.30%,0,0
Donovan,Brentford,4.5,MID,0.10%,0,0
Peart-Harris,Brentford,4.5,MID,0.00%,0,0
Morgan,Brentford,4.5,FWD,0.50%,0,0
McGill,Brighton,4,GKP,0.40%,0,0
Rushworth,Brighton,4,GKP,0.00%,0,0
Scherpen,Brighton,4,GKP,0.00%,0,0
Boscagli,Brighton,4.5,DEF,0.10%,0,0
Coppola,Brighton,4.5,DEF,0.10%,0,0
De Cuyper,Brighton,4.5,DEF,7.00%,0,0
Slater,Brighton,4,DEF,0.20%,0,0
Tasker,Brighton,4,DEF,0.20%,0,0
Sima,Brighton,5.5,MID,0.00%,0,0
Watson,Brighton,5,MID,0.00%,0,0
Yalcouye,Brighton,5,MID,0.00%,0,0
Knight,Brighton,4.5,MID,0.10%,0,0
Mazilu,Brighton,4.5,MID,0.00%,0,0
Moran,Brighton,4.5,MID,0.10%,0,0
Tzimas,Brighton,5.5,FWD,0.10%,0,0
Kostoulas,Brighton,5,FWD,0.50%,0,0
Penders,Chelsea,4,GKP,0.00%,0,0
Slonina,Chelsea,4,GKP,0.10%,0,0
M.Sarr,Chelsea,4.5,DEF,0.10%,0,0
Anselmino,Chelsea,4,DEF,0.10%,0,0
Hato,Chelsea,5,DEF,0.30%,0,0
Estêvão,Chelsea,6.5,MID,1.80%,0,0
Gittens,Chelsea,6.5,MID,0.30%,0,0
Andrey Santos,Chelsea,4.5,MID,0.30%,0,0
D.Essugo,Chelsea,4.5,MID,0.10%,0,0
Paez,Chelsea,4.5,MID,0.00%,0,0
Benitez,Crystal Palace,4,GKP,0.40%,0,0
Matthews,Crystal Palace,4,GKP,0.10%,0,0
Sosa,Crystal Palace,5,DEF,0.10%,0,0
Holding,Crystal Palace,4,DEF,0.10%,0,0
Ahamada,Crystal Palace,4.5,MID,0.00%,0,0
Ebiowei,Crystal Palace,4.5,MID,0.00%,0,0
J.Rak-Sakyi,Crystal Palace,4.5,MID,0.10%,0,0
Ozoh,Crystal Palace,4.5,MID,0.00%,0,0
